Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Butlers Gorge Power Station,8.399999,TAS1,2022-07-01T11:05:00+0000,56,58.33,15,14.4,,14.4,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BUTLERSG,-42.266898,146.261758
Capital Wind Farm,51.376007,NSW1,2022-07-01T11:05:00+0000,36.7,36.7,140,140,,2,Jan-67,Infigen Energy Markets Pty Limited,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CAPTL_WF,-35.16603062,149.5185686
Cathedral Rocks Wind Farm,3.6,SA1,2022-07-01T11:05:00+0000,5.45,5.45,66,66,,2,Jan-33,Cathedral Rocks Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CATHROCK,-34.850861,135.585172
Challicum Hills Wind Farm,12.6,VIC1,2022-07-01T11:05:00+0000,23.77,24,53,52.5,,1.5,Jan-35,Pacific Hydro Challicum Hills Pty Ltd,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CHALLHWF,-37.38978902,143.1139711
Cluny Power Station,11.205768,TAS1,2022-07-01T11:05:00+0000,58.98,65.92,19,17,,17,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,CLUNY,-42.506423,146.681162
Cullerin Range Wind Farm,23.940001,NSW1,2022-07-01T11:05:00+0000,79.8,79.8,30,30,,2,15-Jan,Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CULLRGWF,-34.80498162,149.4001296
Eraring Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,56,41.5,,41.5,1,Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,ERGT01,-33.06174875,151.5223301
Broken Hill Gas Turbines,0,NSW1,2022-07-01T11:05:00+0000,0,0,50,50,,25,2-Jan,Essential Energy,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,GB01,-31.986296,141.420334
Lake Bonney Wind Farm,0,SA1,2022-07-01T11:05:00+0000,0,0,81,80.5,,1.75,Jan-46,Lake Bonney Wind Power Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,LKBONNY1,-37.77134988,140.3980839
Mortons Lane Wind Farm,2.16,VIC1,2022-07-01T11:05:00+0000,10.8,10.8,20,20,,1.5,13-Jan,Mortons Lane Windfarm Pty Limited,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MLWF1,-37.835,142.45
Mt Millar Wind Farm,14.8,SA1,2022-07-01T11:05:00+0000,21.14,21.14,70,70,,2,Jan-35,Mt Millar Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MTMILLAR,-33.626728,136.704562
Paloona Power Station,21.719999,TAS1,2022-07-01T11:05:00+0000,65.82,77.57,33,28,,28,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,PALOONA,-41.282616,146.248964
Portland Wind Farm,7.3,VIC1,2022-07-01T11:05:00+0000,4.93,4.93,148,148,,2,Jan-74,Pacific Hydro Portland Wind Farm Pty Ltd,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,PORTWF,-38.412,141.543
Repulse Power Station,18.084383,TAS1,2022-07-01T11:05:00+0000,62.36,64.59,29,28,,28,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,REPULSE,-42.507695,146.64696
Rowallan Power Station,8.0372,TAS1,2022-07-01T11:05:00+0000,73.07,76.54,11,10.5,,10.5,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,ROWALLAN,-41.729523,146.217593
Rocky Point Cogeneration Plant,-0.1,QLD1,2022-07-01T11:05:00+0000,-0.33,-0.33,30,30,,30,1,FPC 30 Limited,Generatir,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,RPCG,-27.73368,153.32694
Starfish Hill Wind Farm,0.6998,SA1,2022-07-01T11:05:00+0000,2,2.03,35,34.5,,1.5,23-Jan,Starfish Hill Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,STARHLWF,-35.567765,138.143238
